Code,Name,Type,Province,District,Seat,Area,Population,PopulationDensity,ElectricityAccess_Percentage,ElectricityAccess_Households,EnergyCharge_Industry,EnergyCharge_Commercial,Total_MWh,Manufacturing_Customers,Manufacturing_MWh,Commercial_Customers,Commercial_MWh,AveragePV_YieldStellenbosch
EC124,Amahlathi,Local,Eastern Cape,Amathole,Stutterheim,4820,122778,25.5,82.4,28162,60.8,110.2,14143,22,7691,124,2448,1677
EC126,Ngqushwa,Local,Eastern Cape,Amathole,Peddie,2241,72190,32.2,91.4,19551,,,,,,,,1580
EC127,Nkonkobe,Local,Eastern Cape,Amathole,Fort Beaufort,3626,127115,35.1,88.4,31266,86,98.9,15000,,,,,1766
EC128,Nxuba,Local,Eastern Cape,Amathole,Adelaide,2732,24264,8.9,92.2,6189,92,107,12700,,,,,1820
EC131,Inxuba Yethemba,Local,Eastern Cape,Chris Hani,Cradock,11663,65560,5.6,95.6,17665,75.37,122.9,53922,,,,,1884
EC132,Tsolwana,Local,Eastern Cape,Chris Hani,Tarkastad,6087,33281,5.5,88,8360,39.57,111,5870,,,,,1897
EC133,Inkwanca,Local,Eastern Cape,Chris Hani,Molteno,3584,21971,6.1,91.7,5715,40,117.3,4812,3,80,102,,1872
EC134,Lukhanji,Local,Eastern Cape,Chris Hani,Queenstown,3813,190723,50,90.9,46550,60.39,105,132712,228,46114,472,29595,1802
EC135,Intsika Yethu,Local,Eastern Cape,Chris Hani,Cofimvaba,2711,145372,53.6,64.3,26009,,,,,,,,1668
EC136,Emalahleni (EC),Local,Eastern Cape,Chris Hani,Lady Frere,3447,119460,34.7,73.4,88055,56,100,,,,,,1731
EC137,Engcobo,Local,Eastern Cape,Chris Hani,Ngcobo,2484,155513,62.6,50.9,18943,,,,,,,,1679
EC138,Sakhisizwe,Local,Eastern Cape,Chris Hani,Cala,2355,63582,27,79.1,12801,72.76,94,,,,,,1822
EC141,Elundini,Local,Eastern Cape,Joe Gqabi,Maclear,5065,138141,27.3,46.3,17546,64.56,97.87,,,,,,1770
EC142,Senqu,Local,Eastern Cape,Joe Gqabi,Lady Grey,7329,134150,18.3,81.1,30879,114.36,112.27,13834,,,273,13834,1863
EC143,Maletswai,Local,Eastern Cape,Joe Gqabi,Aliwal North,4358,43800,10.1,84.2,10191,53,92.5,50000,11,,175,,1850
EC144,Gariep,Local,Eastern Cape,Joe Gqabi,Burgersdorp,8911,33677,3.8,90.5,8845,69,89,19298,8,2115,132,2852,1879
EC153,Ngquza Hill,Local,Eastern Cape,OR Tambo,Flagstaff,2477,278481,112.4,62.8,35356,,,,,,,,1568
EC154,Port St Johns,Local,Eastern Cape,OR Tambo,Port St Johns,1291,156136,120.9,67.8,21529,,,,,,,,1529
EC155,Nyandeni,Local,Eastern Cape,OR Tambo,Libode,2474,290390,117.4,71,43809,,,,,,,,1502
EC156,Mhlontlo,Local,Eastern Cape,OR Tambo,Qumbu,2826,188226,66.6,72.6,31557,,,,,,,,1686
EC157,King Sabata Dalindyebo,Local,Eastern Cape,OR Tambo,Mthatha,3027,451710,149.2,73.3,77067,,,174883,,,1909,12875,1567
EC441,Matatiele,Local,Eastern Cape,Alfred Nzo,Matatiele,4352,203843,46.8,44.9,22248,117,112,28048,2,22,238,14713,1843
EC442,Umzimvubu,Local,Eastern Cape,Alfred Nzo,Mount Frere,2577,191620,74.4,45.2,21221,,,,,,,,1766
EC443,Mbizana,Local,Eastern Cape,Alfred Nzo,Bizana,2417,281905,116.6,60,29080,47,107,,,,114,,1666
EC444,Ntabankulu,Local,Eastern Cape,Alfred Nzo,Ntabankulu,1385,123976,89.5,23.3,5687,,,,,,,,1672
EKU,Ekurhuleni,Metropolitan,Gauteng,,Germiston,1924,3178470,1652,82.2,834506,95.28,86.21,9222203,4013,4529898,15246,565116,1802
ETH,eThekwini,Metropolitan,KwaZulu-Natal,,Durban,2292,3442361,1501.9,89.9,859919,47.59,116.17,10585207,748,5056990,39659,2011014,1452
FS161,Letsemeng,Local,Free State,Xhariep,Koffiefontein,9829,38628,3.9,92.8,10435,103,123,19908,,,230,538,1907
FS162,Kopanong,Local,Free State,Xhariep,Trompsburg,15645,49171,3.1,92.6,14495,110,110,147812,19,49107,114,29201,1918
